MPN,Price,Producer,Name,EAN,Length(mm),Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock(MHz),Vram(GB),Memory Clock(MHz),TDP(W)
11310-01-20G,#N/D,SAPPHIRE,Sapphire Pulse Radeon RX 6600 Gaming,4.90E+12,193,2.5,1,0,1,3,0,0,2044,8,14000,132
GV-N3070AORUS M-8GD,#N/D,Gigabyte,Aorus RTX 3070 Master,4.72E+12,290,3,2,0,3,3,0,0,1845,8,14000,220
90-GA3HZZ-00UANF,#N/D,ASRock,ASRock Arc A750 Challenger D OC,4.71E+12,271,2,2,0,2,2,0,0,2250,8,2000,225
90-GA41ZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7600 Challenger 8GO,4.71E+12,269.2,2,1,0,1,3,0,0,2695,8,18000,165
90-GA4BZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7600 Phantom Gaming 8GO,4.71E+12,305,2.5,1,0,1,3,0,0,2755,8,18000,165
90-GA4DZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7600 Steel Legend 8GO,4.71E+12,303,2,1,0,1,3,0,0,2725,8,18000,165
90-GA4QZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7700 XT Challenger 12GO,4.71E+12,266,2.5,2,0,1,3,0,0,2854,12,18000,245
90-GA4LZZ-00UANF,499.61,ASRock,ASRock Radeon RX 7700 XT Phantom Gaming 12GO,4.71E+12,328,2.5,2,0,1,3,0,0,2599,12,18000,245
90-GA4PZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7700 XT Steel Legend 12GO,4.71E+12,304,2.8,2,0,1,3,0,0,2599,12,18000,245
90-GA4SZZ-00UANF,547.11,ASRock,ASRock Radeon RX 7800 XT Challenger 16GO,4.71E+12,267,2.5,2,0,1,3,0,0,2475,16,19500,263
90-GA4MZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7800 XT Phantom Gaming 16GO,4.71E+12,328,2.5,2,0,1,3,0,0,2565,16,19500,263
90-GA4RZZ-00UANF,#N/D,ASRock,ASRock Radeon RX 7800 XT Steel Legend 16GO,4.71E+12,304,3,2,0,1,3,0,0,2520,16,19500,263
90YV0HH0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3050 Dual,4.71E+12,200,2,1,0,1,3,0,0,1852,8,4,130
90YV0HH2-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3050 Phoenix,4.71E+12,177,2.55,1,0,1,3,0,0,1807,8,4,130
90YV0HI1-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3050 ROG Strix,4.71E+12,300,2.7,1,0,2,3,0,0,1890,8,4,130
90YV0GB3-M0NA10,#N/D,ASUS,ASUS GeForce RTX 3060 Dual LHR,4.71E+12,200,2.5,1,0,1,3,0,0,1807,12,15000,170
90YV0GB2-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Dual OC,4.71E+12,200,2.5,1,0,1,3,0,0,1867,12,7500,170
90YV0GB4-M0NA10,#N/D,ASUS,ASUS GeForce RTX 3060 Phoenix V2 12G LHR,4.71E+12,177,2.5,1,0,1,3,0,0,1807,12,15000,170
90YV0GC4-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 ROG Strix,4.71E+12,300,2.75,1,0,2,3,0,0,1807,12,7500,170
90YV0GC2-M0NA10,#N/D,ASUS,ASUS GeForce RTX 3060 ROG Strix LHR,4.71E+12,300,2.7,1,0,2,3,0,0,1912,12,15000,170
90YV0GC2-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 ROG Strix OC,4.71E+12,300,2.75,1,0,2,3,0,0,1912,12,7500,170
90YV0FT2-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Ti Dual Mini V2 O8G LHR,4.71E+12,200,2,1,0,1,3,0,0,1680,8,14000,250
90YV0G1J-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Ti Dual V2 O8G LHR,4.71E+12,269,2.7,1,0,2,3,0,0,1740,8,14000,200
90YV0G03-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Ti ROG Strix V2 O8G LHR,4.71E+12,318.5,2.9,2,0,2,3,0,0,1759,8,14000,220
90YV0G1B-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Ti TUF V2 8G LHR,4.71E+12,301,2.7,1,0,2,3,0,0,1695,8,14000,200
90YV0G1A-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 Ti TUF V2 O8G LHR,4.71E+12,301,2.7,1,0,2,3,0,0,1755,8,14000,200
90YV0GC1-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 TUF,4.71E+12,301,2.75,1,0,2,3,0,0,1807,12,7500,170
90YV0GC0-M0NA10,#N/D,ASUS,ASUS GeForce RTX 3060 TUF LHR,4.71E+12,301,2.7,1,0,2,3,0,0,1882,12,15000,170
90YV0GC0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3060 TUF OC,4.71E+12,301,2.75,1,0,2,3,0,0,1882,12,7500,170
90YV0FQC-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 Dual V2 O8G LHR,4.71E+12,267,2.7,2,0,2,3,0,0,1759,8,14000,220
90YV0FQQ-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 Noctua Edition,4.71E+12,310,4.3,2,0,2,3,0,0,1815,8,14000,220
90YV0FRA-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 ROG Strix 8G White LHR,4.71E+12,318.5,2.9,2,0,2,3,0,0,1759,8,14000,220
90YV0FR9-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 ROG Strix O8G White LHR,4.71E+12,318.5,2.9,2,0,2,3,0,0,1759,8,14000,220
90YV0FR7-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 ROG Strix V2 O8G LHR,4.71E+12,318.5,2.9,2,0,2,3,0,0,1759,8,14000,220
90YV0GW1-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 Ti ROG Strix,4.71E+12,319,3,3,0,2,3,0,0,1800,8,19000,290
90YV0GW0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 Ti ROG Strix OC,4.71E+12,319,3,3,0,2,3,0,0,1875,8,19000,290
90YV0GY0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 Ti TUF O8G LHR,4.71E+12,299.9,2.7,2,0,2,3,0,0,1815,8,19000,290
90YV0FQI-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3070 TUF V2 O8G LHR,4.71E+12,300,2.5,2,0,2,3,0,0,1759,8,14000,220
90YV0FB9-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3080 Noctua,4.71E+12,306.2,4.1,2,0,2,3,0,0,1815,10,19000,320
90YV0FA0-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 ROG Strix 1,4.72E+12,318.5,3,3,0,2,3,0,0,1759,10,19000,320
90YV0FA1-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 ROG Strix O1,4.72E+12,318.5,3,3,0,2,3,0,0,1759,10,19000,320
90YV0FA8-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 ROG Strix V2 10G LHR,4.71E+12,318.5,2.9,3,0,2,3,0,0,1759,10,19000,320
90YV0FA7-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 ROG Strix V2 O10G LHR,4.71E+12,318.5,2.9,3,0,2,3,0,0,1759,10,19000,320
90YV0GT1-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 Ti ROG Strix O12G,4.71E+12,319,3,3,0,2,3,0,0,1845,12,19000,350
90YV0GU0-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 Ti TUF,4.71E+12,300,2.7,2,0,2,3,0,0,1695,12,19000,350
90YV0GU1-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 Ti TUF O12G,4.71E+12,300,2.7,2,0,2,3,0,0,1785,12,19000,350
90YV0FB0-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 TUF Gaming 1,4.72E+12,299.9,3,2,0,2,3,0,0,1759,10,19000,320
90YV0FB1-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 TUF Gaming O1,4.72E+12,299.9,3,2,0,2,3,0,0,1759,10,19000,320
90YV0FB5-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 TUF V2 10G LHR,4.71E+12,299.9,2.7,2,0,2,3,0,0,1759,10,19000,320
90YV0FB4-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3080 TUF V2 O10G LHR,4.71E+12,299.9,2.7,2,0,2,3,0,0,1759,10,19000,320
90YV0F90-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3090 ROG Strix 2,4.72E+12,318.5,2.75,3,0,2,3,0,0,1759,24,19500,350
90YV0F93-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3090 ROG Strix O2,4.72E+12,318.5,3,3,0,2,3,0,0,1759,24,19500,350
90YV0HC0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3090 Ti ROG Strix LC,4.71E+12,293,2.6,0,0,2,3,0,0,1950,24,14000,480
90YV0HC1-M0NA00,#N/D,ASUS,ASUS GeForce RTX 3090 Ti TUF,4.71E+12,326,3.2,0,0,2,3,0,0,1759,24,14000,450
90YV0FD0-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3090 TUF Gaming 2,4.72E+12,299.9,2.75,2,0,2,3,0,0,1759,24,19500,350
90YV0FD1-M0NM00,#N/D,ASUS,ASUS GeForce RTX 3090 TUF Gaming O2,4.72E+12,299.9,2.75,2,0,2,3,0,0,1759,24,19500,350
90YV0JC0-M0NA00,#N/D,ASUS,ASUS GeForce RTX 4060 Dual,4.71E+12,227.2,2.5,1,0,1,3,0,0,2505,8,17000,115
